claim_id,page_or_component,claim_type,claim_text_summary,risk_level,evidence_status,remediation_action,status,notes
CLM-001,src/pages/index.astro; src/pages/universities/index.astro; UniversityCard.astro; UniversityLayout.astro; UniversityLogoBanner.astro,rating,"0-5 star rating shown per university (e.g. LPU 4.6, Manipal 4.7) and used to sort listings",P0,unsupported - no reviewer/methodology/count/date disclosed anywhere in the codebase or content,Remove rating field from schema/content and all rendered star ratings; replace sort with neutral order (featured flag / name),fixed-pending-deploy,Violates 'no unsupported ratings' rule; matches master-plan P0 item 6 Code fix verified in website-build/audits/website-remediation-report.md P0-2: rating field/UI removed entirely from schema and all render sites. Live site (education.skeure.com) still shows old ratings as of 2026-07-25 -- fix not yet deployed.
CLM-002,"src/content/testimonials/{asha,rekha,shobha}.md; TestimonialGrid.astro",testimonial,"3 named student testimonials with role and quote, each internally marked '(Draft testimonial, pending review.)'",P0,"unverified/fabricated-looking - no consent record, no verification of the named individuals existing","Remove from published content collection until real, consented testimonials with evidence exist",fixed-pending-deploy,"Matches master-plan P0 item 6; draft marker itself is a public editorial note (P0 item 1) Code fix verified: 3 draft testimonials moved to _archive/draft-testimonials/, grids gate on length>0. Live site still renders a testimonial with visible '(Draft testimonial, pending review.)' text as of 2026-07-25 -- fix not yet deployed."
CLM-003,src/pages/financing.astro; FinancingHighlight.astro; src/pages/index.astro description; src/data (none) — hardcoded rows in both financing files,financing,"'0% p.a.' Skeure financing rate vs invented-looking comparison table (private lenders 14-18%, PSU banks 11-14%, NBFC 9.5-12%); loan amount range; same-day approval; no collateral; no prepayment penalty; processing fee ₹2,500",P0,"lender identity, APR/KFS, eligibility, fees, approval conditions, grievance route: all marked pending/unconfirmed in the copy itself",Remove numeric financing claims and comparison table; replace with a neutral 'ask us for current financing options' statement until a named regulated lender + KFS + legal review exist,fixed-2026-07-25,"Matches master-plan P0 item 4; direct instruction to neutralize until named lender/APR/KFS/legal review exist Code fix verified: numeric financing claims and lender comparison table removed, replaced with neutral WhatsApp framing. Not yet deployed. CORRECTED 2026-07-25 after Codex review: my earlier 'fixed-pending-deploy' was wrong — numeric claims were gone but financing.astro and faqs/financing-mechanics.md still asserted unnamed lending partners. Now actually fixed: copy states Skeure is not a lender, lending partners are not finalised, no terms published, commission disclosure linked to /about/#trust."
CLM-004,src/pages/universities/[slug] via UniversityLayout.astro PlacementHighlights section; lovely-professional-university.md; amity-university-online.md,placement/salary,"LPU: 'Highest reported package ₹42 LPA...typical range ₹3.5-7.0 LPA'; Amity: named roles with salaries (Data Scientist ~₹16.5 LPA, etc.), '450+ hiring partners', named recruiters (TCS, Amazon, Google, Microsoft, HDFC, etc.)",P0,"sourced only to 'the university's own placement materials, not independently audited' per in-page caption; no link to the actual official source page","Keep only if the university's own published placement report is directly link-cited per figure; otherwise remove specific salary/recruiter claims and keep only a general, clearly-attributed statement",kept-as-disclosed-2026-07-25,"Matches master-plan P0 item 6 (placement/salary/recruiter claims high-risk) Decision delegated to Claude by Pratham 2026-07-25: keep both LPU's and Amity's existing placement/salary figures published as-is. Not strengthened (no new citations exist to support stronger claims) and not removed (both are marketed as effectively as the current evidence allows). The existing 'university-sourced, not independently audited, ask on WhatsApp for latest verified numbers' disclosure in PlacementHighlights.astro stays intact and unchanged."
CLM-005,src/lib/jsonld.ts organizationJsonLd(); consumed by src/pages/index.astro,entity schema,@type: EducationalOrganization for Skeure itself,P0,"factually wrong - Skeure is a counselling/intermediary service, not a degree-awarding institution",Change schema type to a service/consultancy type (e.g. Organization/ProfessionalService) with correct sameAs/legal details,fixed-pending-deploy,"Matches master-plan P0 item 3 / P1 item 4 Code fix verified: organizationJsonLd() now emits ProfessionalService with corrected description/address, legacy Instagram sameAs dropped. Live site JSON-LD still shows EducationalOrganization + old sameAs as of 2026-07-25 -- fix not yet deployed."
CLM-006,src/content/universities/online-manipal-university.md; jsonld/pages consuming it,entity conflation,"Single record 'Online Manipal University', city 'Jaipur & Manipal', state 'Rajasthan / Karnataka', established 1953, presented as one HEI",P0,onlinemanipal.com markets programmes from multiple distinct awarding HEIs under one brand; conflated record is unverifiable as-is,Unpublish (noindex) until research confirms the correct per-entity split; then create separate records,contained-pending-deploy,Matches master-plan P0 item 3 exactly; see programme-ledger.csv rows online-manipal-university-* Page unpublished (noindex) and conflation disclosed in code; courses cleared. Full per-entity rebuild (3 separate HEI pages) still open -- see website-remediation-report.md section 8 blocker #2. Not yet deployed.
CLM-007,src/content/universities/jagat-guru-nanak-dev-psou.md,programme accuracy,'Online & Distance' mode label for a state Open University; 8-programme generic skeleton with round-number lumpsum fees,P0,master plan states a verified mismatch exists here; exact mismatch pending research-agent confirmation,Correct mode/programme list per research findings before re-indexing; noindex until corrected,fixed-pending-deploy,"Master-plan named priority correction Code fix verified: mode corrected to Distance (ODL), 4 unconfirmed programmes removed, 4 confirmed kept. Not yet deployed."
CLM-008,src/content/universities/desh-bhagat-university.md,programme accuracy,establishedYear 1996; 8-programme generic skeleton with round-number lumpsum fees,P0,master plan states a verified mismatch exists here; exact mismatch pending research-agent confirmation,Correct per research findings before re-indexing; noindex until corrected,republished-2026-07-25,"Master-plan named priority correction Page unpublished (noindex), establishedYear corrected. Zero DEB rows found in either research pass -- still needs a manual direct UGC-DEB check before republish or permanent retirement, see blocker #3. Not yet deployed. Republished 2026-07-25: Pratham supplied DBU's own official 2025-26 online-programme brochure (website-build/database/unprocessed/DBU-Online-Brochure-2025-26.pdf). Restored all 13 real programmes from it, removed noindex, set evidenceStatus to 'stale' (matches LPU/Amity tier) -- NOT 'verified', since the brochure is the university's own marketing material, not an independent UGC-DEB portal confirmation. See evidence/programme-ledger.csv rows desh-bhagat-university-01 through -13 and evidence/source-register.md."
CLM-009,src/content/universities/mmu-university-online.md,programme accuracy / entity risk,"establishedYear 2007; possible conflation with a second, separately-named MMU institution",P0,master plan states a verified mismatch exists here; exact mismatch pending research-agent confirmation,Correct/disambiguate per research findings before re-indexing; noindex until corrected,fixed-pending-deploy,"Master-plan named priority correction Code fix verified: trimmed from 8 to 3 DEB-confirmed programmes (MCA, BBA, B.Com Hons). Not yet deployed."
CLM-010,"src/content/universities/{chandigarh,chitkara,gla,guru-kashi,mangalayatan,punjabi-university}-*.md",programme accuracy,8 of 12 remaining universities reuse an identical 8-programme skeleton (MBA/MCA/M.Com/MA/BBA/BCA/B.Com/BA) with round-number lumpsum fees and no source citation,P0/P1,"unverified - no UGC-DEB citation, no official fee-page citation, numbers pattern-match each other rather than each university's real published fee",Verify against UGC-DEB + each official site; correct or noindex any programme/fee not confirmed,partially-fixed-pending-deploy,"Matches master-plan P0 item 2 / P1 item 2 Chitkara and GLA trimmed to official-site-confirmed programmes; Punjabi University mode+name corrected. Chandigarh/Guru Kashi/Mangalayatan still carry unconfirmed elements (disclosed in-page), per blocker #7 -- a follow-up verification pass is still needed. Not yet deployed."
CLM-011,all 12 university .md files; src/pages/about.astro; src/content/blog/choosing-the-right-online-degree.md; src/layouts/LegalLayout.astro,public editorial note,"Body copy ends with 'Draft copy. Pending Pratham's review before this is treated as final, verified content.' (or equivalent) visible to end users",P0,"N/A - internal process note, not a factual claim, but must not be public",Remove all internal review-status sentences from user-facing copy,fixed-pending-deploy,"Matches master-plan P0 item 1 exactly (18 of 23 sitemap URLs affected) Code fix verified: all public draft/pending-review editorial notes stripped across 12 university pages, About, blog post, legal banner. Not yet deployed."
CLM-012,src/pages/privacy-policy.astro; src/pages/terms.astro; src/layouts/LegalLayout.astro,legal,"Both pages explicitly state they are draft/not legally reviewed/not yet published, while the site actively collects name/email/phone/programme-interest via the contact form and WhatsApp",P0,no legal review has occurred,noindex both pages; do not treat content as binding; keep flagged as a blocker until qualified legal review supplies final text,contained-pending-deploy,"Matches master-plan P0 item 5 Pages noindexed, internal process language removed, honest 'pending legal review' state kept. Underlying legal review itself has not happened -- see blocker #6. Not yet deployed."
